Food,Price
Zinger Burger,550
Chicken Burger,420
Beef Burger,650
Double Patty Burger,850
Cheese Burger,700
Jalapeño Burger,750
Chicken Fajita Pizza (Small),799
Pepperoni Pizza (Small),799
Tikka Pizza (Small),799
Cheese Lover Pizza (Small),799
Veggie Pizza (Small),799
BBQ Chicken Pizza (Small),799
Chicken Shawarma,250
Cheese Shawarma,320
Zinger Shawarma,380
Platter Shawarma,650
Regular Fries,180
Masala Fries,250
Loaded Fries,450
Club Sandwich,500
Grilled Sandwich,420
1 Piece Broast,320
2 Piece Broast,620
Hot Wings (6 pcs),500
Nuggets (8 pcs),480
Alfredo Pasta,750
Chicken Pasta,700
Coca Cola,250
Pepsi,250
7up,250
Mint Margarita,250
Mineral Water,250
Lava Cake,350
Ice Cream Cup,250
